"Dataset"	"Tool"	"V"	"c"	"h"	"ARI"	"Mem_usage(Gb)"	"rt(d-h:m:s)"	"Read_percentage_nt_clustered"	"nr_cores"	"Commmets"
"ALZ"	"GeLuster"	0.743	0.629	0.908	0.301	17.2	"1-00:00:27"	85.2	1	"none"
"ALZ"	"isONclust1"	0.789	0.654	0.993	0.305	102.2	"1-13:58:55"	95.7	8	"none"
"ALZ"	"isONclust3_min_nc"	0.784	0.655	0.977	0.306	25.8	"02:32:46"	91.5	1	"none"
"ALZ"	"isONclust3_min"	0.783	0.657	0.969	0.278	25.8	"04:39:28"	92.2	1	"none"
"ALZ"	"isONclust3_min_fix"	0.866	0.778	0.977	0.559	25.8	"01:29:42"	93.0	1	"none"
"SIRV"	"GeLuster"	0.734	0.674	0.807	0.763	2.5	"00:32:14"	99.8	1	"none"
"SIRV"	"isONclust1"	0.629	0.462	0.985	0.268	2.9	"00:30:03"	99.8	1        "	"TODO: run anew to get results"
"SIRV"	"isONclust3_min_nc"	0.896	0.812	0.999	0.965	2.2	"00:25:39"	99.6	1	"none"
"SIRV"	"isONclust3_min"	0.916	0.848	0.996	0.967	2.3	"00:18:18"	99.6	1	"none"
"SIRV"	"isONclust3_min_fix"	0.882	0.844	0.923	0.935		"6:40.75"	99.6	1	"none"
"SIRV"	"Rattle"	0.851	0.745	0.993	0.901	16.6	"00:15:09"	99.3	1	"none"
"SIM-500k"	"GeLuster"	0.981	0.993	0.969	0.795	2.9	"00:31:45"	99.3	1	"none"
"SIM-500k"	"isONclust1"	0.954	0.916	0.996	0.561	3.3	"07:07:53"	98.9	1	"none"
"SIM-500k"	"isONclust3_min_nc"	0.949	0.906	0.996	0.617	2.5	"13:31:36"	95.8	1	"none"
"SIM-500k"	"isONclust3_min"	0.988	0.98	0.996	0.944	2.5	"01:03:20"	58.4	1	"none"
"SIM-500k"	"isONclust3_min_fix"	0.988	0.98	0.996	0.945		"5:12.88"	97.5	1	"none"	
"SIM-500k"	"Rattle"	0.991	0.992	0.989	0.896	18.7	"10:53:51"	99.6	1	"none"
"Drosophila"	"GeLuster"	0.858	0.759	0.986	0.424	6.6	"01:50:46"	95.1	1	"none"
"Drosophila"	"isONclust1"	0.85	0.742	0.994	0.253	8.3	"11:04:32"	92.3	1	"none"
"Drosophila"	"isONclust3_min_nc"	0.874	0.797	0.969	0.439	5.9	"01:42:06"	97.5	1	"none"
"Drosophila"	"isONclust3_min"	0.875	0.799	0.967	0.430	6.3	"04:51:26"	97.8	1	"none"
"Drosophila"	"isONclust3_min_fix"	0.871	0.798	0.959	0.405	6.3	"00:22:38"	97.6	1	"none"
"Drosophila"	"Rattle"	0.863	0.773	0.976	0.444	42.4	"03:53:46"	0.0	1	"none"
"HG002"	"isONclust3_min_fix"	0.846	0.797	0.901	0.587	"09:00:00"	163.1	1	"none"
"ONT_human"	"GeLuster"	0.907	0.857	0.964	0.739
"ONT_human"	"isONclust3_min_fix"	0.892	0.898	0.887	0.300	"4:42.87"	1.6	1	"none"	
